word1,word2
penance,pennants
miner,minor
mall,maul
she's,shes
calk,caulk
floc,flock
way,weigh
bight,byte
rite,write
sow,so
dies,dyes
cachou,cashew
reigned,reined
cod,cawed
acclimation,acclamation
u,yew
cause,caws
lakh,lock
ware,weir
are,ar
marks,Marx
to,too
dower,dour
or,o'er
fluorescents,florescence
toe,tow
cere,sere
ring,wring
routing,rooting
nae,neigh
autarky,autarchy
wheal,weal
phrase,fraise
t's,tease
do,doe
gaze,Gay's
stoops,stoup
armer,armor
bached,batched
wrote,rote
wich,which
road,rowed
sain,seine
bey,bay
build,billed
oral,aural
overate,overrate
clammer,clamor
coax,cokes
chaise,shays
meter,metre
cues,q's
rheumy,roomy
read,rede
would,wood
carrot,carat
soot,suit
bailie,bailey
fillets,filets
Pilate,pilot
oar,o'er
ere,are
Lou's,lose
stoup,stoop
patten,pattern
flows,floes
torus,Taurus
tocsin,toxin
coin,coign
rase,res
grease,Greece
braes,brays
quoin,coin
chitin,kitten
kop,cop
hire,higher
packed,pact
senser,sensor
pelisse,police
ware,wear
nee,Ne
sown,sone
grow,gros
penitents,penitence
ass,asse
logger,laager
salver,salvor
res,raze
chuff,chough
wot,watt
ai,aye
ark,arc
filter,philtre
cruel,crewel
polar,poller
sacks,sax
seeding,ceding
stade,stayed
dyeing,dying
aire,err
seeder,cedar
dram,drachm
braking,breaking
bee,be
feel,feal
deviser,divisor
chair,chare
reigned,rained
pearish,parish
yule,you'll
stare,stair
prints,prince
dye,die
clamber,clamor
plainer,planar
sacque,sac
patience,patients
sacs,sacks
aes,eyes
sited,cited
planer,plainer
martin,marten
hey,hay
wade,weighed
wiled,wild
whys,wyes
sought,sort
seemed,seamed
courier,currier
faints,feints
brut,bruit
cavalryman,cavalrymen
axle,axel
ho,hoe
preys,prase
resews,resows
haw,hoar
lieu,Lou
shivaree,shivary
breach,breech
marshal,martial
emergence,immergence
Whittier,wittier
cozy,cosy
bare,bear
witch,wich
c's,cees
does,doze
tope,taupe
phial,file
taut,tot
poof,pouf
continence,continents
hear,here
sink,synch
calculous,calculus
sole,soul
sights,sites
loose,luce
teat,teet
effect,affect
pare,pere
whacks,wax
sees,seas
tun,ton
knit,nit
borne,born
due,do
fah,far
there,their
sue,sault
pawned,pond
auger,augur
crummy,crummie
cannonry,canonry
li,lee
gat,gaht
cete,seat
dissidents,dissidence
pear,pare
kiln,chyle
wee,whee
baud,bawd
per,purr
tuft,toughed
poll,pole
villous,villus
mow,mot
nun,none
are,air
crepe,crape
read,red
pumice,pomace
descendent,descendant
caret,carrot
the,thee
there's,theirs
fills,fils
friar,fryer
wining,whining
wont,want
fuhrer,furore
filter,philter
rue,roo
gaff,gaffe
scaler,scalar
resistor,resister
tied,tide
reseat,receipt
victual,vittle
reeve,reave
word,whirred
flyers,fliers
seize,sees
fessed,fest
marc,marque
betel,beetle
writes,wrights
bade,bad
poky,pokey
consent,concent
bocks,box
discreet,discrete
mandrel,mandrill
misses,Mrs.
fairy,ferry
leas,leis
heard,herd
ferry,faery
they're,their
handmade,handmaid
hi,hie
axle,axil
hippie,hippy
loop,loupe
home,hom
pouring,poring
wop,whop
vary,very
vices,vises
bine,been
find,fined
tare,tear
holm,hom
tuff,tough
white,wight
cashes,caches
bailor,baler
tee,tea
waul,wall
quaff,coif
aire,Ayr
rows,roes
bale,Baal
correspondence,correspondents
razer,raiser
tot,taught
duel,dual
ware,where
krona,krone
writing,righting
natty,gnatty
citable,sightable
receding,reseeding
florescence,fluorescence
guyed,guide
lava,larva
sighting,citing
sell,cel
missable,miscible
adherence,adherents
duct,ducked
guerilla,gorilla
pard,parred
awe,oar
meed,mead
mole,mol
parol,parole
sidhe,shea
cored,chord
cadi,caddie
peon,paeon
bair,bear
fetes,fates
daze,days
c,sea
u's,use
ticks,tics
sear,sere
puer,pure
elide,allied
sie,scye
heir,err
obedients,obedience
err,ere
gibe,jibe
epoch,epic
stator,stater
intense,intents
clabbered,clapboard
nap,knap
brute,bruit
gall,Gaul
fainted,feinted
berries,buries
ascent,assent
rays,res
sauce,source
sync,cinque
lede,lead
home,holm
statice,status
jinks,jinx
junkie,junky
tar,tahr
peeling,pealing
peel,peal
tye,Thai
Chile,chili
rows,rose
pharaoh,farrow
border,boarder
barrenness,baroness
reining,raining
sacque,sack
descendents,descendence
tyre,tire
bur,birr
analyst,annalist
cask,casque
presence,presents
leas,lees
complimentary,complementary
reeks,wreaks
plater,plaiter
miners,minors
florescents,fluorescence
undue,undo
leak,leek
pores,pause
chanty,chantey
poor,pour
peace,piece
hi,high
hie,heigh
insightful,inciteful
sink,sync
reseats,receipts
mote,moat
warred,ward
roam,Rome
scye,sigh
neigh,nee
clairvoyants,clairvoyance
resite,resight
fain,fane
capitol,capital
tower,toer
meteor,meatier
lase,laze
o'er,ore
rigors,riggers
adze,ads
crappie,crappy
neap,neep
chitin,chiton
peek,peke
rest,wrest
peek,peak
wise,wyes
reigns,rains
layed,lade
p's,peas
reave,rive
devil,devle
frits,fritz
how's,hows
gopher,gofer
ray,re
pair,pere
seiner,saner
some,sum
lade,leid
c's,sees
bogie,bogey
nose,noes
we've,weave
quai,Kay
li,lea
quai,k
shown,shone
slough,slue
populous,populus
Russell,rustle
trooper,trouper
conquer,conker
cinque,sank
anti-,aunty
board,bored
birr,burr
through,thru
whet,wet
phial,faille
close,cloze
wait,weight
frier,friar
fairs,fares
Delhi,deli
whys,y's
raise,Ray's
shivaree,shifery
mete,meet
read,reed
terne,tern
caster,castor
fare,fair
veldt,felt
balled,bald
palate,palette
already,all ready
kor,corps
plumbs,plums
devel,devle
heal,heel
limns,limbs
pah,pas
sidhe,she
planar,planer
yaw,your
road,rode
soar,saw
aweigh,away
illusion,allusion
ewe,you
psi,scye
rack,wrack
whit,wit
enumerable,innumerable
room,rheum
batsman,batsmen
pours,pause
peak,pique
manner,manor
populus,populace
remittance,remittants
nave,knave
precisian,precision
seed,cede
have,halve
coop,coupe
cant,can't
pascal,paschal
bard,barred
burgh,burrow
balks,box
councillor,counsellor
block,bloc
boulder,bolder
curd,kurd
semen,seamen
are,heir
settlor,settler
paired,pared
incompetence,incompetents
timbre,tambour
rapped,rapt
razor,raiser
stupe,stoup
til,till
awe,ore
calyx,calix
sennit,sennet
lase,leas
clew,clue
waiver,waver
gnu,knew
deer,dear
oh,o
bot,baht
court,caught
mutual,mutuel
hi,heigh
wean,ween
dents,dense
baited,bated
lam,lamb
resited,resighted
wot,what
rain,reign
abstinence,abstinents
nape,knap
lowed,load
y's,wise
bailie,bailee
ooze,oohs
greyer,grayer
adolescence,adolescents
bullion,boullion
Lou's,Lew's
bread,bred
chord,cord
Lou's,loos
drupe,droop
baching,batching
innocents,innocence
four,fore
razor,razer
troupe,troop
lief,leaf
seize,c's
tis,tees
coulee,coolly
censor,censer
stade,staid
eruptive,irruptive
wield,wheeled
whish,wish
fairing,faring
yore,yaw
paring,pairing
dough,doe
Cox,cocks
premier,premiere
gator,gaiter
sod,sawed
dor,door
clamber,clammer
Inc.,ink
hide,Hyde
awled,auld
yawn,yon
blend,blende
wear,where
tack,tach
ate,ait
were,whir
ante,aunty
sigh,xi
flour,flower
team,teem
incidence,incidents
wheald,wheeled
sew,sow
cypress,Cyprus
fillet,filet
fowl,foul
retarred,retard
brut,brute
bazaar,bizarre
frieze,freeze
fees,feeze
hoarse,horse
gambol,gamble
do,dough
spiel,speel
pouffe,poof
missal,missile
by,bye
prier,prior
serous,cirrus
emergences,immergences
plating,plaiting
riot,ryot
gee,g
od,odd
mints,mince
tael,tale
lets,Letts
rings,wrings
lead,led
gild,gilled
burg,berg
laze,leas
bann,ban
tux,tucks
salter,Psalter
sowed,sewed
lazar,lazer
pealed,peeled
brays,braise
raw,roar
reseed,recede
canopy,canape
guaranty,guarantee
writes,rites
sext,sexed
meat,meet
gene,jean
tapir,taper
camara,camera
gauge,gage
holy,wholly
infuser,infusor
planter,plantar
babel,babble
belligerence,belligerents
hostel,hostile
politick,politic
rood,rude
quay,cay
Czech,cheque
wax,whack
peas,pease
genes,jeans
hough,hoc
barque,bark
stele,steel
bitt,bit
rein,rain
pallet,palette
bore,boar
ante,auntie
eyre,heir
fakers,fakirs
peels,peals
pampas,pompous
baste,based
Unix,eunuchs
y,why
currant,current
locks,lox
weaner,wiener
pear,pair
sacs,sax
resite,recite
weal,we'll
axel,axil
toon,tune
pew,piu
lochs,locks
ayre,aire
phases,fazes
swayed,suede
precedents,precedence
cole,kohl
aerie,airy
aye,ay
caudle,caudal
laze,lays
hail,hale
whale,wale
straighten,straiten
hay's,haze
wrapping,rapping
soccer,socker
know,no
sees,cees
indite,indict
lessen,lesson
sashay,sachet
I'll,aisle
sty,stye
cord,cored
pyxie,pixie
turnery,ternary
furore,furor
kor,core
Lew,lieu
foe,faux
dependents,dependence
overbilled,overbuild
heald,heeled
buss,bus
panne,pan
mien,mesne
stollen,stolen
rock,roc
serge,surge
load,lode
ton,tonne
crummy,crumby
choir,quire
Lapps,lapse
bird,burred
genes,Jean's
Wacs,wax
whorled,whirled
lice,lyse
pencil,pencel
waived,waved
Mary,merry
thru,threw
blare,blair
lyse,lyes
no's,knows
nix,nicks
balm,bomb
cadi,caddy
cruise,cruse
barer,bearer
wear,weir
sleighed,slayed
idol,idyll
resewed,resowed
I'd,eyed
allowed,aloud
reseeded,receded
pail,pale
teas,tis
rive,reeve
lye,lie
mordant,mordent
titer,tighter
cerate,serrate
close,clothes
paws,pours
flocks,phlox
mix,micks
venous,Venus
morn,mourn
counsellor,councilor
use,ewes
instance,instants
sense,cents
eruption,irruption
hock,hough
missus,misses
sons,suns
lox,lochs
steles,steals
we'll,wheel
sol,soul
right,write
uncal,uncle
toad,towed
frieze,frees
mood,mooed
chilly,Chile
coup,coo
airy,eyrie
viscus,viscous
rax,wracks
baize,bays
halves,haves
yores,yours
frays,phrase
reigns,reins
cougher,coffer
faro,farrow
shoo,shoe
flee,flea
turn,tern
counselor,councilor
torr,tore
turn,terne
coward,cowered
fête,fate
purse,perse
mews,muse
wain,Wayne
tees,teas
deprivation,deprevation
ha ha,ha-ha
coolly,coolie
sealing,ceiling
pees,p's
depravation,deprivation
preyers,prayers
tie,Thai
islet,eyelet
reel,real
hall,haul
pattern,paten
prophet,profit
humorous,humerus
sailor,sailer
hoop,whoop
pawn,porn
idle,idyll
teems,teams
quince,quints
missals,missiles
marquis,marquee
reck,wreck
hic,hick
oke,oak
mat,matte
gin,jinn
seel,seal
belle,bell
graphed,graft
Ayr,heir
laid,layed
carpel,carpal
knight,night
lama,llamas
cue,kyu
sue,Sioux
pedal,peddle
charred,chard
bust,bused
auk,orc
raid,rayed
manner,manna
waive,wave
write,wright
corps,caw
buccal,buckle
Chou,chew
gilt,guilt
kyte,kite
grievance,grievants
rows,rouse
ex,x
wee,we
tease,tees
sone,sewn
inveighed,invade
eyre,air
eyre,ayre
dam,damn
parish,perish
specs,specks
bin,been
androgenous,androgynous
sighed,side
eyre,aire
bogy,bogey
told,tolled
bow,beau
radicle,radical
tail,tale
nigh,nye
compliment,complement
choc,chock
spa,spar
phiz,fizz
prise,pries
heald,healed
resighting,reciting
shears,sheers
mayor,mare
wicker,whicker
wined,whined
assistants,assistance
heeled,healed
tool,tule
bite,bight
fainting,feinting
Lew's,loos
bore,Boer
rood,rued
heir,aire
due,dew
immerging,emerging
cubit,qubit
bow,bough
pore,poor
writes,rights
rail,rale
sales,sails
bootee,booty
need,knead
vain,vane
whines,wines
forebear,forbear
mutch,much
mots,mows
fate,fete
aunt,aren't
stake,steak
wynn,win
welled,weld
dough,doh
bailer,bailor
soak,soke
guild,gild
aerial,ariel
sear,seer
te,tee
pare,pair
plane,plain
whaler,wailer
oar,or
rays,raze
cueing,queueing
citing,siting
weal,wheel
ay,I
nobs,knobs
marques,marks
pier,peer
Jean's,jeans
rye,wry
hoo,who
reciting,resiting
franc,frank
manors,manners
rebuild,rebilled
sewn,sown
hoc,hock
Mrs.,missus
combing,coaming
so,sew
right,rite
chordate,cordate
calender,calendar
whaled,wailed
reseated,receipted
krater,crater
pees,peas
tailer,tailor
loch,lough
mat,matt
stele,steal
cum,come
or,ore
fat,phat
sodder,solder
winings,whinings
racket,rackett
quad,quod
scent,cent
whoa,woe
coaled,cold
baa,bah
sennit,senate
raining,reigning
y'all,yawl
rosery,rosary
Ayr,air
elude,allude
no-how,know-how
knead,kneed
rout,route
feaze,fees
tract,tracked
pix,pyx
preyed,prayed
millinery,millenary
laze,leys
k,Kay
key,quay
fungous,fungus
axe,ax
towed,toed
Sikh,seek
complete,compleat
fays,faze
world,whirled
hows,house
rex,wrecks
myrrh,mur
rumor,roomer
said,sed
bogie,bogy
wynd,whined
expedience,expedients
byte,bite
eye,aye
feet,feat
minx,minks
fennel,phenyl
tody,toady
lo-cal,locale
burd,burred
seraph,serif
queuer,cuer
wrought,rot
elicit,illicit
flesh,fleche
chine,chin
sell,cell
potpourri,popery
roots,routes
marque,mark
putty,puttee
step,steppe
prase,praise
Wacs,whack
relaid,relayed
stayed,staid
Czech,check
colonel,kernel
on,awn
heart,hart
equator,equater
dock,doc
weir,where
Gail,Gael
lase,lays
hews,hues
whether,wether
nu,knew
cosign,cosine
flowers,flours
lea,lee
col,caul
hairy,harry
bused,bussed
polled,poled
size,sighs
lumber,lumbar
sloe,slow
hock,hawk
earn,erne
trey,tray
queues,q's
seas,cees
ceil,seal
marcs,Marx
ink,Inc.
raiser,razer
wrights,writes
barred,bard
mane,Maine
jest,gest
pray,prey
mi,me
series,Ceres
cosine,cosign
mien,mean
caching,cashing
roomy,rheumy
bated,baited
penni,penny
fate,fête
wrack,rack
fraise,frays
furor,furore
ceding,seeding
hom,home
cues,queues
lazer,lazar
raps,wraps
t's,tees
wen,when
horse,hoarse
laager,lager
obedience,obedients
lade,laid
pea,pe
tartar,tarter
resighted,resited
ayre,ere
mesne,mien
reeve,rive
recede,reseed
hurts,hertz
lyre,liar
freeze,frieze
stolen,stollen
accidence,accidents
castor,caster
steals,steles
higher,hire
aloud,allowed
hole,whole
cel,sell
staid,stayed
indict,indite
burred,burd
faille,phial
rains,reigns
reigning,raining
peeled,pealed
pencel,pencil
Hugh,hew
bourne,born
sightable,citable
stoop,stoup
shone,shown
maid,made
gyve,jive
sneeze,snees
watt,wot
crewel,cruel
you,u
oar,ore
their,they're
mooed,mood
queue,q
Gael,gale
fakirs,fakers
ley,lei
attendance,attendants
hick,hic
sigh,scye
gilled,gild
auntie,anti-
waist,waste
licker,liquor
villus,villous
paschal,pascal
teal,teil
a while,awhile
clue,clew
trussed,trust
oak,oke
wheel,we'll
side,sighed
overrate,overate
sunny,sonny
knead,need
leid,lade
rote,wrote
nee,nae
phat,fat
Hyde,hide
sun,son
you,ewe
popery,potpourri
stater,stator
chiton,kitten
ti,t
pours,paws
nap,nape
fees,feaze
burley,burly
gaol,jail
pairing,paring
Marx,marks
re,ray
gamble,gambol
fungus,fungous
loaner,loner
chord,cored
tenser,tensor
batsmen,batsman
burr,bur
crumby,crummy
wich,witch
wiener,weaner
Thai,tie
plait,plate
chyle,kiln
sewer,sower
toady,tody
write,right
flex,flecks
wracking,racking
bury,berry
horde,hoard
police,pelisse
steak,stake
ruse,rues
whorled,world
bailey,bailie
err,Ayr
bettor,better
know-how,no-how
sox,socks
leys,leas
shivery,shivaree
ducked,duct
poler,poller
pole,poll
boatswain,bosun
phase,Fay's
zero,-xero
llamas,lama
hart,heart
ayes,eyes
appetite,apatite
sinking,synching
choler,collar
Greece,grease
status,statice
pummel,pommel
fatelist,fatalist
seat,cete
mail,male
ar,are
weights,waits
sore,soar
soke,soak
irk,erk
clairvoyance,clairvoyants
bear,bair
acceptor,accepter
coolie,coolly
ere,Ayr
eunuchs,Unix
chucker,chukker
hoc,hough
ringer,wringer
sheers,shears
yew,u
ceil,seel
inductance,inductants
champaign,champagne
pealing,peeling
feinting,fainting
heal,he'll
heir,ayre
receipted,reseated
adolescents,adolescence
wane,wain
luce,loose
aery,eyrie
a,eh
dean,dene
praise,preys
coolie,coulee
c,see
spec,speck
doze,doughs
gamin,gammon
cannon,canon
variance,variants
seize,cees
banns,bans
conformation,confirmation
patten,paten
yore,your
ceder,cedar
gnaw,nor
sites,cites
mustered,mustard
isle,I'll
quean,queen
why,wye
wynn,whin
lute,loot
awe,or
faint,feint
se,say
knot,not
caul,call
knickers,nickers
staph,staff
copt,copped
talk,torque
prophecy,prophesy
scenter,center
con,conn
hears,here's
wrights,rites
tacked,tact
ads,adds
burro,burgh
canter,cantor
pouf,pouffe
raise,res
seaman,semen
Hyde,hied
pee,pea
idol,idle
flak,flack
click,clique
torte,tort
maize,maze
baize,beys
gassed,gased
sequence,sequents
glair,glare
liens,leans
levin,leaven
root,route
spayed,spade
beat,beet
wig,whig
leer,Lear
tuba,tuber
are,aire
recited,resited
fourth,forth
handsome,hansom
presser,pressor
leased,least
bye,bi
paced,paste
borough,burrow
leid,laid
clacque,clack
pois,poise
waler,whaler
four,for
are,r
awl,all
mode,mowed
neigh,nay
sale,sail
eyer,ire
eyre,are
scents,sense
